segment,subsegment,option,pain,root_cause,cta,full_value_prop
"1 · Disillusioned","1a · Chronically Rejected",1,"She texts back, she laughs, she says she had a great time — and then nothing happens","Because likability and attraction are two completely different things, and nobody ever taught you where the line is","Take the quiz and find out exactly which charisma component you're missing — and how to build it in 30 days","She texts back, she laughs, she says she had a great time — and then nothing happens → Because likability and attraction are two completely different things, and nobody ever taught you where the line is → Take the quiz and find out exactly which charisma component you're missing — and how to build it in 30 days"
"1 · Disillusioned","1a · Chronically Rejected",2,"You're afraid of coming across as creepy — so you hide your interest, build the friendship, and end up in the friend zone. Again.","Suppressing your interest doesn't protect you from rejection — it just removes you from the game before she even had a chance to choose you","Find out how to show interest with confidence — so she feels attraction, not pressure","You're afraid of coming across as creepy — so you hide your interest, build the friendship, and end up in the friend zone. Again. → Suppressing your interest doesn't protect you from rejection — it just removes you from the game before she even had a chance to choose you → Find out how to show interest with confidence — so she feels attraction, not pressure"
"1 · Disillusioned","1b · Running Out of Time / Midlife",1,"You're 38, 42, 47 — and you're starting over. Everyone around you already has their life built. You feel like the clock is almost out.","Charisma built after 35 carries weight and depth that men in their 20s simply don't have. This isn't a late start — it's an advantage you haven't learned to use yet","Take the quiz and get a plan built around your age, your experience, and where you actually are right now","You're 38, 42, 47 — and you're starting over. Everyone around you already has their life built. You feel like the clock is almost out. → Charisma built after 35 carries weight and depth that men in their 20s simply don't have. This isn't a late start — it's an advantage you haven't learned to use yet → Take the quiz and get a plan built around your age, your experience, and where you actually are right now"
"1 · Disillusioned","1b · Running Out of Time / Midlife",2,"You talk about your career, your achievements, your stability — and she still doesn't light up","Because women are attracted to presence, not a resume. Status is the backdrop — charisma is what she actually feels when she's standing next to you","Find out what magnetic presence looks like — and how it replaces everything you've been trying to prove","You talk about your career, your achievements, your stability — and she still doesn't light up → Because women are attracted to presence, not a resume. Status is the backdrop — charisma is what she actually feels when she's standing next to you → Find out what magnetic presence looks like — and how it replaces everything you've been trying to prove"
"1 · Disillusioned","1c · Negative Self-Image",1,"You're convinced other men have something you were just born without — the height, the jaw, the voice","Charisma has nothing to do with how you look. It's determined entirely by how you carry yourself — and that is 100% trainable","Take the quiz and see exactly which charisma skills you need to build — regardless of your appearance","You're convinced other men have something you were just born without — the height, the jaw, the voice → Charisma has nothing to do with how you look. It's determined entirely by how you carry yourself — and that is 100% trainable → Take the quiz and see exactly which charisma skills you need to build — regardless of your appearance"
"1 · Disillusioned","1c · Negative Self-Image",2,"You see her smiling at you — and you still do nothing. You've already decided for her before she even had a chance to decide","That's not shyness. That's the habit of rejecting yourself first so you don't have to risk being rejected. And there's a specific way out of it.","Find out your blocker type and get a step-by-step plan to break the pattern — for good","You see her smiling at you — and you still do nothing. You've already decided for her before she even had a chance to decide → That's not shyness. That's the habit of rejecting yourself first so you don't have to risk being rejected. And there's a specific way out of it. → Find out your blocker type and get a step-by-step plan to break the pattern — for good"
"1 · Disillusioned","1d · Gave Up",1,"You've tried. You read the books, watched the videos, maybe even paid for a course. Nothing worked. Now even trying feels naive.","Because most advice teaches you techniques — not how to reconnect with the version of you that could actually pull this off. He didn't disappear. He's still in there.","One quiz — not another technique, not another list of rules. Just a mirror: who you are right now and where to start","You've tried. You read the books, watched the videos, maybe even paid for a course. Nothing worked. Now even trying feels naive. → Because most advice teaches you techniques — not how to reconnect with the version of you that could actually pull this off. He didn't disappear. He's still in there. → One quiz — not another technique, not another list of rules. Just a mirror: who you are right now and where to start"
"1 · Disillusioned","1d · Gave Up",2,"You haven't really tried in a while. Now even a basic conversation with a woman feels off — like you've forgotten how","Social confidence is like a muscle. It didn't disappear — it just hasn't been used. And it comes back faster than you think.","Find out where to start — no pressure, no big leaps, just from exactly where you are right now","You haven't really tried in a while. Now even a basic conversation with a woman feels off — like you've forgotten how → Social confidence is like a muscle. It didn't disappear — it just hasn't been used. And it comes back faster than you think. → Find out where to start — no pressure, no big leaps, just from exactly where you are right now"
"2 · Serial Self-Improver","2a · New Love Interest",1,"There's a specific girl. You talk, you click — but it's been stuck at 'just friends' for weeks and you don't know how to move it forward","Because friendliness and attraction are different things. One specific shift in how you show up changes the entire dynamic — either you know it or you keep waiting","Take the quiz and get a concrete plan for this week — while the window is still open","There's a specific girl. You talk, you click — but it's been stuck at 'just friends' for weeks and you don't know how to move it forward → Because friendliness and attraction are different things. One specific shift in how you show up changes the entire dynamic — either you know it or you keep waiting → Take the quiz and get a concrete plan for this week — while the window is still open"
"2 · Serial Self-Improver","2a · New Love Interest",2,"When she's around, you stop being yourself. Too careful, too polished, too much in your head. And she can feel it.","Attraction doesn't happen when you're trying — it happens when you're just there. That's a trainable skill called presence, and it's not what you think it is","Find out which specific blocker is making you disappear around her — and what to do differently","When she's around, you stop being yourself. Too careful, too polished, too much in your head. And she can feel it. → Attraction doesn't happen when you're trying — it happens when you're just there. That's a trainable skill called presence, and it's not what you think it is → Find out which specific blocker is making you disappear around her — and what to do differently"
