segment_num,segment_label,subsegment_code,subsegment_label,option,pain,root_cause,cta,full_value_prop
1,"Something's wrong with me","1a","Anxious (AP) — too needy / anxious / can't stop spiraling",1,"You know you're spiraling — but you still can't stop checking your phone and replaying everything you said","Because your nervous system learned that love is unpredictable. Hypervigilance isn't a character flaw — it's a survival skill that has outlived its purpose","Take the quiz and find out which specific AP pattern is keeping you stuck — and what actually breaks it","You know you're spiraling — but you still can't stop checking your phone and replaying everything you said → Because your nervous system learned that love is unpredictable. Hypervigilance isn't a character flaw — it's a survival skill that has outlived its purpose → Take the quiz and find out which specific AP pattern is keeping you stuck — and what actually breaks it"
1,"Something's wrong with me","1a","Anxious (AP) — too needy / anxious / can't stop spiraling",2,"You chase reassurance, get it, feel okay for five minutes — and then you need it again. The relief never lasts.","Reassurance treats the symptom, not the source. Your attachment system is looking for proof of safety — not just a text back. There's a specific thing it needs that reassurance can't give you.","Find out what your attachment system is actually searching for — and how to give it to yourself","You chase reassurance, get it, feel okay for five minutes — and then you need it again. The relief never lasts. → Reassurance treats the symptom, not the source. Your attachment system is looking for proof of safety — not just a text back. There's a specific thing it needs that reassurance can't give you. → Find out what your attachment system is actually searching for — and how to give it to yourself"
1,"Something's wrong with me","1b","Dismissive Avoidant (DA) — shuts down / runs / ends it when things get hard",1,"You genuinely cared. Then something shifted — you went cold. And by the time you noticed, they were already gone.","Emotional shutdown isn't heartlessness. It's a protection system built in childhood — and it doesn't know the difference between a real threat and someone who just needs you to stay present.","Take the quiz and find out exactly where your shutdown pattern starts — and what actually stops it","You genuinely cared. Then something shifted — you went cold. And by the time you noticed, they were already gone. → Emotional shutdown isn't heartlessness. It's a protection system built in childhood — and it doesn't know the difference between a real threat and someone who just needs you to stay present. → Take the quiz and find out exactly where your shutdown pattern starts — and what actually stops it"
1,"Something's wrong with me","1b","Dismissive Avoidant (DA) — shuts down / runs / ends it when things get hard",2,"You're fine on your own. Until someone you actually care about pushes for more — and you disappear.","The closeness you want and the closeness that triggers you are the same thing. That's not a contradiction — it's a very specific wiring pattern. And it has a path out.","Find out your avoidance type and what staying present actually looks like — without losing yourself","You're fine on your own. Until someone you actually care about pushes for more — and you disappear. → The closeness you want and the closeness that triggers you are the same thing. That's not a contradiction — it's a very specific wiring pattern. And it has a path out. → Find out your avoidance type and what staying present actually looks like — without losing yourself"
1,"Something's wrong with me","1c","Fearful-Avoidant (FA) — wants closeness but panics when they get it",1,"You want connection more than anything. And the moment you actually get it — something in you starts looking for the exit.","When love felt dangerous early in life, your brain wired closeness and threat together. That wiring is not your identity — it's a pattern. And it's specifically reversible.","Take the quiz and find out which fear is running your relationships — and how to catch it before it destroys something real","You want connection more than anything. And the moment you actually get it — something in you starts looking for the exit. → When love felt dangerous early in life, your brain wired closeness and threat together. That wiring is not your identity — it's a pattern. And it's specifically reversible. → Take the quiz and find out which fear is running your relationships — and how to catch it before it destroys something real"
1,"Something's wrong with me","1c","Fearful-Avoidant (FA) — wants closeness but panics when they get it",2,"You've been told you're 'too complicated.' You're starting to believe it.","FA patterns look like contradictions because two survival systems are running at the same time — one toward connection, one toward safety. They're both doing their job. The problem is the job is outdated.","Find your FA pattern type — and get a concrete map for what change actually looks like","You've been told you're 'too complicated.' You're starting to believe it. → FA patterns look like contradictions because two survival systems are running at the same time — one toward connection, one toward safety. They're both doing their job. The problem is the job is outdated. → Find your FA pattern type — and get a concrete map for what change actually looks like"
2,"Something's wrong with my partner","2a","Partner is Anxious (AP) — suffocating / controlling / can't trust",1,"You give reassurance. You show up. You do everything right — and an hour later they need the same thing again.","Reassurance doesn't reach the source of anxious attachment — it only delays the next wave. You're managing symptoms, not shifting the dynamic. And no amount of effort will close that gap.","Take the quiz and find out what actually reduces your partner's anxiety — and what you're accidentally doing that makes it worse","You give reassurance. You show up. You do everything right — and an hour later they need the same thing again. → Reassurance doesn't reach the source of anxious attachment — it only delays the next wave. You're managing symptoms, not shifting the dynamic. And no amount of effort will close that gap. → Take the quiz and find out what actually reduces your partner's anxiety — and what you're accidentally doing that makes it worse"
2,"Something's wrong with my partner","2a","Partner is Anxious (AP) — suffocating / controlling / can't trust",2,"You can feel your own need for space slowly turning into resentment — and you hate that it's happening.","The pursuer-distancer pattern is a two-person system. You're not just reacting to them — you're part of a loop. Understanding your role, and how to exit it without abandoning them, is the actual lever.","Find out your role in this dynamic — and what shifts it for both of you","You can feel your own need for space slowly turning into resentment — and you hate that it's happening. → The pursuer-distancer pattern is a two-person system. You're not just reacting to them — you're part of a loop. Understanding your role, and how to exit it without abandoning them, is the actual lever. → Find out your role in this dynamic — and what shifts it for both of you"
2,"Something's wrong with my partner","2b","Partner is FA — mixed signals / hot and cold / unpredictable",1,"They pull you in, then disappear. You're spending more time trying to understand them than actually being with them.","FA partners aren't playing games — they're being pulled between two incompatible fears simultaneously. The pattern has a logic to it. Once you can see it clearly, you stop taking it personally — and you can actually respond to it.","Take the quiz and map the hot/cold cycle — and find out which part of it you can actually influence","They pull you in, then disappear. You're spending more time trying to understand them than actually being with them. → FA partners aren't playing games — they're being pulled between two incompatible fears simultaneously. The pattern has a logic to it. Once you can see it clearly, you stop taking it personally — and you can actually respond to it. → Take the quiz and map the hot/cold cycle — and find out which part of it you can actually influence"
2,"Something's wrong with my partner","2b","Partner is FA — mixed signals / hot and cold / unpredictable",2,"The best moments were genuinely extraordinary. That's exactly why leaving feels impossible.","Intermittent reinforcement creates stronger psychological bonds than consistent love does. The intensity is real — but it's neurological, not relational. There's a difference between a bond and a healthy relationship, and it matters enormously.","Find out whether this dynamic is workable or terminal — and get a clear-eyed plan either way","The best moments were genuinely extraordinary. That's exactly why leaving feels impossible. → Intermittent reinforcement creates stronger psychological bonds than consistent love does. The intensity is real — but it's neurological, not relational. There's a difference between a bond and a healthy relationship, and it matters enormously. → Find out whether this dynamic is workable or terminal — and get a clear-eyed plan either way"
