question_title,question_url,answer_text,text_length,relevance_score,segment_tag
How should I stop loving someone who does not love me? - Quora,https://www.quora.com/How-do-you-stop-loving-someone-who-doesnt-love-you-back,"I dated a guy during college for six months, and one day I found out that one of my friends had been dating him for the last two months. I felt broken and developed trust issues. I know for sure that I was not in love, because I felt more betrayed by my friend than by that guy.",278,8,Betrayed / Cheated On
How does it feel to love someone one sidedly?,https://www.quora.com/What-is-it-like-to-be-in-a-one-sided-relationship,"I was depressed and then I fell in one sided love that made me feel worthless. How can I get rid of these feelings of helplessness? What's the best thing to do to get out of one-sided love? How can I get rid of my depression over an unrequited love? I am a 22 year old girl. I am in love with a friend who doesn't love me back. I used to be good at studies but now I am terrible at it. I feel sad, anxious and depressed all the time.",433,7,One-Sided Giver / Depleted
What is the pain of losing a loved one? - Quora,https://www.quora.com/What-does-it-feel-like-to-lose-someone-you-love,"It really does depend on the individual circumstance. I've experienced loss of loved ones a few times. My mother was 84 when she passed. Her death was a release for her and a relief for her family. She suffered terribly with Shingles for two years and a bad heart. She died on her birthday. Although I wasn't there at the time, I was glad she went peacefully in her sleep. And because we didn't have the best mother/daughter relationship, I do not miss her. But I loved her as my mother. On the other hand, my dear brother died of AIDS at 50 and I miss him terribly. We were very clo",583,5,General / Disappointed in Love
How to find yourself again after a relationship - Quora,https://www.quora.com/How-do-you-find-yourself-again-after-a-relationship,I started by reading a few books about how to get over relationships. I was depressed and despondent. I shared my experiences with trusted friends but I found myself lonesome and I had a lot of pity parties.,207,4,General / Disappointed in Love
How does it feel to love someone one sidedly?,https://www.quora.com/What-is-it-like-to-be-in-a-one-sided-relationship,"So mine story started when I took admission in iit coaching, and the first time i saw her there and fall for her, i was loving her so much that i couldn't notice the other girls around me and should just think about her, but like it was one sided love she never noticed my feelings and i was also not able to express my feelings to her and it went on for two years and then we took admission in other colleges and then I even loss the opportunity to see her.",458,3,General / Disappointed in Love
Why do men go silent after a breakup?,https://www.quora.com/Why-do-men-go-silent-after-a-breakup,"I can speak from experience on this one. She left me about 4 months ago. My fault. This is the most depressed I’ve ever been. This breakup has hurt me more than losing a close family member. I cried more in one week than I’d ever cried in my entire life up until that point. I don’t cry as much anymore, but it still feels like I’ve been stripped of all the happiness and will to live that I once had. Let me put it this way: I’m alive, but I’m not living. I’m completely dead inside.",484,3,General / Disappointed in Love
Why do men go silent after a breakup?,https://www.quora.com/Why-do-men-go-silent-after-a-breakup,"Mine was an unrequited love, but it still hurt more than a break-up. Because she is one of my best friends and my true love. She left me, not because I cared less, but because I love her way too much. It still hurts even after five and a half long years. I remember all the important dates and events. My memory kills me.",321,3,General / Disappointed in Love
Why do men go silent after a breakup?,https://www.quora.com/Why-do-men-go-silent-after-a-breakup,"Denial, this can’t be happening, what did I do wrong? I treated her well, I loved her, she told me she loved me! Maybe this was a heat of the moment thing? When she calms down I can talk to her. Then you realise this is serious. I guess shock takes over, you just feel helpless. You don’t know what to do or say. A thousand thoughts fly through your mind followed by a thousand emotions, You’re angry, upset, unsure of yourself. A feeling of loss clouds your mind.",464,3,General / Disappointed in Love
What does ‘lose myself in a relationship’ mean?,https://www.quora.com/What-does-it-mean-to-lose-yourself-in-a-relationship,"I've lost myself completely in my relationship, I started out following fashion, wearing make up always made myself look respectable and nice which made me feel really good and confident. Now I just rotate the two pairs of jeans i have and three baggy tops I own. I used to be very house proud kept on top of my cleaning, cooking etc now the house is like a squat and I hardly cook only for him when he gets in from work. My self care is non existent I barely wash, brush my teeth, brush my hair etc. But I run his bath for him everyday, it's always ready on time for his arrival home from work. I ha",600,3,Emotionally Drained / Lost Self
What does it feel like to be cheated on? - Quora,https://www.quora.com/What-does-it-feel-like-to-be-cheated-on,"After 5 years of what I thought was bliss, 4 months pregnant and my partner away (military) a parcel was dropped on my door. It contained date stamped photos of 5 years worth of infidelity. It destroyed me. Everything’s stopped in that moment. I went from preparing for a wedding and a baby to being an empty shell. I had another month before he would be home.",360,3,Betrayed / Cheated On
How long does it take to recover from being cheated on? - Quora,https://www.quora.com/How-long-does-it-take-to-recover-from-being-cheated-on,"I don’t think you ever completely get over it. My husband finally decided he wanted to come back home. I was alone and said yes. That was a decision I should have given a LOT more thought, There are still times she is seen or the fact I found her initials with a phone number in his phone, I deleted it. I had to block her and her daughter on social media. It drove us apart from a real marriage. We have separate bedrooms after he had Prostate Cancer. We’ve been married 37 years (one of them separated), both of us have medical problems, so I guess being friends, for now, is OK.",581,3,Post-Divorce Rebuilder
