segment_num,segment_label,subsegment_code,subsegment_label,level,type,item_num,content,psychology_tag
1,"Something's wrong with me","1","Something's wrong with me",segment,JTBD,1,"Understand where this pattern came from — connect childhood experience to current relationship behavior",
1,"Something's wrong with me","1","Something's wrong with me",segment,JTBD,2,"Stop repeating the same dynamic across different partners and different relationships",
1,"Something's wrong with me","1","Something's wrong with me",segment,JTBD,3,"Feel less alone — know that others have had this exact pattern and have healed",
1,"Something's wrong with me","1","Something's wrong with me",segment,JTBD,4,"Get a clear framework for what my pattern actually is so I can start changing it",
1,"Something's wrong with me","1","Something's wrong with me",segment,JTBD,5,"Find a path to earned security — become the kind of person who can give and receive love without it falling apart",
1,"Something's wrong with me","1","Something's wrong with me",segment,Blocker,1,"Sees the pattern as fixed personality not a learned behavior — 'this is just who I am'",Fixed mindset
1,"Something's wrong with me","1","Something's wrong with me",segment,Blocker,2,"Shame about needing to work on this — feels broken or defective for having it",Shame suppressor
1,"Something's wrong with me","1","Something's wrong with me",segment,Blocker,3,"Has tried therapy and it didn't produce lasting change — skeptical anything will work",Trust collapse
1,"Something's wrong with me","1","Something's wrong with me",segment,Blocker,4,"Understands the theory intellectually but behavior doesn't change in real situations",Knowing-doing gap
1,"Something's wrong with me","1","Something's wrong with me",segment,Blocker,5,"Childhood reframe feels like blaming parents — emotionally resists that narrative",Narrative resistance
1,"Something's wrong with me","1a","Anxious (AP) — too needy / anxious / can't stop spiraling",subsegment,JTBD,1,"Stop the spiral when the partner doesn't respond — learn to self-soothe without needing their reassurance",
1,"Something's wrong with me","1a","Anxious (AP) — too needy / anxious / can't stop spiraling",subsegment,JTBD,2,"Communicate needs without triggering the partner to pull away further",
1,"Something's wrong with me","1a","Anxious (AP) — too needy / anxious / can't stop spiraling",subsegment,JTBD,3,"Understand why they keep choosing emotionally unavailable people — and stop doing it",
1,"Something's wrong with me","1a","Anxious (AP) — too needy / anxious / can't stop spiraling",subsegment,JTBD,4,"Build enough self-worth that reassurance from the partner stops being the only source of stability",
1,"Something's wrong with me","1a","Anxious (AP) — too needy / anxious / can't stop spiraling",subsegment,JTBD,5,"Stop abandoning themselves — their own needs and identity — just to keep the relationship alive",
1,"Something's wrong with me","1a","Anxious (AP) — too needy / anxious / can't stop spiraling",subsegment,JTBD,6,"Recognize protest behaviors before acting on them — interrupt the pattern in real time",
1,"Something's wrong with me","1a","Anxious (AP) — too needy / anxious / can't stop spiraling",subsegment,Blocker,1,"Reassurance-seeking feels like love — doesn't fully recognize it as a problem yet",Misattribution of love
1,"Something's wrong with me","1a","Anxious (AP) — too needy / anxious / can't stop spiraling",subsegment,Blocker,2,"Believes that if they stop pursuing the partner will definitely leave — the chase feels necessary for survival",Catastrophic thinking
1,"Something's wrong with me","1a","Anxious (AP) — too needy / anxious / can't stop spiraling",subsegment,Blocker,3,"Fears that learning to self-soothe means becoming cold or not caring",Identity threat
1,"Something's wrong with me","1a","Anxious (AP) — too needy / anxious / can't stop spiraling",subsegment,Blocker,4,"Partner's actual inconsistency causes real anxiety — hard to know where the 'style' ends and a legitimate concern begins",Reality confusion
1,"Something's wrong with me","1a","Anxious (AP) — too needy / anxious / can't stop spiraling",subsegment,Blocker,5,"Hypervigilance is exhausting but also feels protective — giving it up feels dangerous",Hypervigilance as safety
1,"Something's wrong with me","1a","Anxious (AP) — too needy / anxious / can't stop spiraling",subsegment,Blocker,6,"Trying to change anxious behaviors while still inside the triggering relationship — no stable ground to practice from",Context dependency
1,"Something's wrong with me","1b","Dismissive Avoidant (DA) — shuts down / runs / ends it when things get hard",subsegment,JTBD,1,"Understand why closeness feels threatening — what's actually happening in the nervous system when someone needs them",
1,"Something's wrong with me","1b","Dismissive Avoidant (DA) — shuts down / runs / ends it when things get hard",subsegment,JTBD,2,"Learn to stay present when a partner needs them — not disappear or shut down",
1,"Something's wrong with me","1b","Dismissive Avoidant (DA) — shuts down / runs / ends it when things get hard",subsegment,JTBD,3,"Stop losing people they genuinely care about because they couldn't give what was needed",
1,"Something's wrong with me","1b","Dismissive Avoidant (DA) — shuts down / runs / ends it when things get hard",subsegment,JTBD,4,"Find a way to allow dependency without it feeling like suffocation or loss of self",
1,"Something's wrong with me","1b","Dismissive Avoidant (DA) — shuts down / runs / ends it when things get hard",subsegment,JTBD,5,"Understand the difference between healthy independence and avoidance — know what they're actually doing",
1,"Something's wrong with me","1b","Dismissive Avoidant (DA) — shuts down / runs / ends it when things get hard",subsegment,JTBD,6,"Process where this came from — connect the emotional self-sufficiency to what they learned as a child",
1,"Something's wrong with me","1b","Dismissive Avoidant (DA) — shuts down / runs / ends it when things get hard",subsegment,Blocker,1,"Self-sufficiency feels like strength and maturity — doesn't see avoidance as a problem until after they've lost someone",Strength misidentification
1,"Something's wrong with me","1b","Dismissive Avoidant (DA) — shuts down / runs / ends it when things get hard",subsegment,Blocker,2,"The problem only becomes visible when it's too late — after the person has already left",Delayed consequence
1,"Something's wrong with me","1b","Dismissive Avoidant (DA) — shuts down / runs / ends it when things get hard",subsegment,Blocker,3,"Emotional expression feels forced or performative — opening up feels inauthentic",Authenticity paradox
1,"Something's wrong with me","1b","Dismissive Avoidant (DA) — shuts down / runs / ends it when things get hard",subsegment,Blocker,4,"People leaving confirms the belief that close relationships aren't worth the cost",Confirmation bias
1,"Something's wrong with me","1b","Dismissive Avoidant (DA) — shuts down / runs / ends it when things get hard",subsegment,Blocker,5,"Opens up in therapy but closes down in real relationships — can't transfer the progress",Context transfer failure
1,"Something's wrong with me","1b","Dismissive Avoidant (DA) — shuts down / runs / ends it when things get hard",subsegment,Blocker,6,"Genuine comfort with solitude makes it easy to rationalize avoidance as preference not fear",Comfort rationalization
1,"Something's wrong with me","1c","Fearful-Avoidant (FA) — wants closeness but panics when they get it",subsegment,JTBD,1,"Understand the core contradiction — why they want and fear the exact same thing",
1,"Something's wrong with me","1c","Fearful-Avoidant (FA) — wants closeness but panics when they get it",subsegment,JTBD,2,"Recognize the deactivation before it destroys the relationship — catch it in real time",
1,"Something's wrong with me","1c","Fearful-Avoidant (FA) — wants closeness but panics when they get it",subsegment,JTBD,3,"Stop the 'ick' response from hijacking a genuinely good relationship",
1,"Something's wrong with me","1c","Fearful-Avoidant (FA) — wants closeness but panics when they get it",subsegment,JTBD,4,"Explain their behavior to themselves and their partner — stop feeling like a mystery they can't solve",
1,"Something's wrong with me","1c","Fearful-Avoidant (FA) — wants closeness but panics when they get it",subsegment,JTBD,5,"Find a way to stay when things are good instead of inventing reasons to leave",
1,"Something's wrong with me","1c","Fearful-Avoidant (FA) — wants closeness but panics when they get it",subsegment,JTBD,6,"Identify which fear is running at any moment — abandonment fear or engulfment fear — so they can respond instead of react",
1,"Something's wrong with me","1c","Fearful-Avoidant (FA) — wants closeness but panics when they get it",subsegment,Blocker,1,"Can't predict their own reactions — the deactivation happens before they understand it",Self-opacity
1,"Something's wrong with me","1c","Fearful-Avoidant (FA) — wants closeness but panics when they get it",subsegment,Blocker,2,"Feels impossible to change something they can't even see coming",Learned helplessness
1,"Something's wrong with me","1c","Fearful-Avoidant (FA) — wants closeness but panics when they get it",subsegment,Blocker,3,"Partner's reactions confirm both fears — pursue and the partner smothers; pull away and the partner leaves",Double-bind confirmation
1,"Something's wrong with me","1c","Fearful-Avoidant (FA) — wants closeness but panics when they get it",subsegment,Blocker,4,"Has been told they're 'too complicated' or 'too much' — has internalized this as truth",Negative labeling
1,"Something's wrong with me","1c","Fearful-Avoidant (FA) — wants closeness but panics when they get it",subsegment,Blocker,5,"Oscillates between 'I need to fix this' and 'I'm fine actually' — motivation disappears when not activated",Inconsistent motivation
1,"Something's wrong with me","1c","Fearful-Avoidant (FA) — wants closeness but panics when they get it",subsegment,Blocker,6,"The good moments feel so good they justify the chaos — hard to commit to change when it's not currently bad",Peak experience bias
2,"Something's wrong with my partner","2","Something's wrong with my partner",segment,JTBD,1,"Understand why the partner behaves the way they do — get the framework for their attachment style",
2,"Something's wrong with my partner","2","Something's wrong with my partner",segment,JTBD,2,"Know whether to stay or leave — is this a fixable dynamic or a pattern that won't change",
2,"Something's wrong with my partner","2","Something's wrong with my partner",segment,JTBD,3,"Learn how to communicate in a way that doesn't trigger the partner's attachment response",
2,"Something's wrong with my partner","2","Something's wrong with my partner",segment,JTBD,4,"Stop absorbing responsibility for the partner's behavior — understand what's theirs and what's mine",
2,"Something's wrong with my partner","2","Something's wrong with my partner",segment,JTBD,5,"Understand their own role in the dynamic — what am I doing that makes this pattern worse",
2,"Something's wrong with my partner","2","Something's wrong with my partner",segment,Blocker,1,"Came to understand the partner but resists finding themselves in the data — only looking outward",Self-discovery avoidance
2,"Something's wrong with my partner","2","Something's wrong with my partner",segment,Blocker,2,"Believes that if they understand the partner enough the partner will change",Understanding-fixing conflation
2,"Something's wrong with my partner","2","Something's wrong with my partner",segment,Blocker,3,"Partner doesn't know or acknowledge their attachment style — only one person has the map",One-sided awareness
2,"Something's wrong with my partner","2","Something's wrong with my partner",segment,Blocker,4,"Worried that using attachment labels pathologizes or reduces the partner",Diagnostic discomfort
2,"Something's wrong with my partner","2","Something's wrong with my partner",segment,Blocker,5,"Has consumed so much attachment content they now over-explain everything through the lens",Overapplication
2,"Something's wrong with my partner","2a","Partner is Anxious (AP) — suffocating / controlling / can't trust",subsegment,JTBD,1,"Understand why reassurance never seems to be enough — why the anxiety doesn't go away even when they do everything right",
2,"Something's wrong with my partner","2a","Partner is Anxious (AP) — suffocating / controlling / can't trust",subsegment,JTBD,2,"Learn to respond to the partner's anxiety without enabling it or making it worse",
2,"Something's wrong with my partner","2a","Partner is Anxious (AP) — suffocating / controlling / can't trust",subsegment,JTBD,3,"Stop feeling controlled or suffocated while still caring about the partner",
2,"Something's wrong with my partner","2a","Partner is Anxious (AP) — suffocating / controlling / can't trust",subsegment,JTBD,4,"Know the line — when is this anxiety something to work with and when is it a dealbreaker",
2,"Something's wrong with my partner","2a","Partner is Anxious (AP) — suffocating / controlling / can't trust",subsegment,JTBD,5,"Understand if their own behavior is triggering the anxiety or if this is the partner's baseline",
2,"Something's wrong with my partner","2a","Partner is Anxious (AP) — suffocating / controlling / can't trust",subsegment,Blocker,1,"Giving reassurance feels kind and compassionate — doesn't see how it reinforces the cycle",Compassion trap
2,"Something's wrong with my partner","2a","Partner is Anxious (AP) — suffocating / controlling / can't trust",subsegment,Blocker,2,"Partner's anxiety starts to feel manipulative even when it isn't — resentment builds quietly",Manipulation misread
2,"Something's wrong with my partner","2a","Partner is Anxious (AP) — suffocating / controlling / can't trust",subsegment,Blocker,3,"Walking on eggshells has become normal — doesn't know what 'not walking on eggshells' looks like",Normalization
2,"Something's wrong with my partner","2a","Partner is Anxious (AP) — suffocating / controlling / can't trust",subsegment,Blocker,4,"Feels like they're doing all the emotional labor — exhaustion is eroding the relationship",Labor imbalance resentment
2,"Something's wrong with my partner","2a","Partner is Anxious (AP) — suffocating / controlling / can't trust",subsegment,Blocker,5,"Genuinely can't tell if they're the problem or if the partner is simply incompatible",Attribution confusion
2,"Something's wrong with my partner","2b","Partner is FA — mixed signals / hot and cold / unpredictable",subsegment,JTBD,1,"Decode the hot and cold cycle — understand what triggers the partner's deactivation and what brings them back",
2,"Something's wrong with my partner","2b","Partner is FA — mixed signals / hot and cold / unpredictable",subsegment,JTBD,2,"Stop second-guessing everything — know when things are actually fine vs. when to be concerned",
2,"Something's wrong with my partner","2b","Partner is FA — mixed signals / hot and cold / unpredictable",subsegment,JTBD,3,"Learn how to give space without feeling abandoned or anxious themselves",
2,"Something's wrong with my partner","2b","Partner is FA — mixed signals / hot and cold / unpredictable",subsegment,JTBD,4,"Decide with clarity whether to stay — is this an FA healing or a permanently chaotic dynamic",
2,"Something's wrong with my partner","2b","Partner is FA — mixed signals / hot and cold / unpredictable",subsegment,JTBD,5,"Stop personalizing the deactivation — understand it's not about them",
2,"Something's wrong with my partner","2b","Partner is FA — mixed signals / hot and cold / unpredictable",subsegment,Blocker,1,"The inconsistency has activated their own anxious patterns — they've become who they didn't want to be",Anxious activation by proxy
2,"Something's wrong with my partner","2b","Partner is FA — mixed signals / hot and cold / unpredictable",subsegment,Blocker,2,"The hot phases are so good they justify staying through the cold phases",Intermittent reinforcement
2,"Something's wrong with my partner","2b","Partner is FA — mixed signals / hot and cold / unpredictable",subsegment,Blocker,3,"The partner can't explain their own behavior — leaves nobody with answers",Explanation vacuum
2,"Something's wrong with my partner","2b","Partner is FA — mixed signals / hot and cold / unpredictable",subsegment,Blocker,4,"The best moments were exceptional — sunk cost plus peak experience makes leaving feel impossible",Sunk cost + peak experience bias
2,"Something's wrong with my partner","2b","Partner is FA — mixed signals / hot and cold / unpredictable",subsegment,Blocker,5,"Has become hypervigilant about not triggering the deactivation — living on alert",Hypervigilance by proxy
2,"Something's wrong with my partner","2c","Partner is DA — emotionally unavailable / walls up / goes cold",subsegment,JTBD,1,"Understand why the partner walls up — is this about me or is this who they are regardless",
2,"Something's wrong with my partner","2c","Partner is DA — emotionally unavailable / walls up / goes cold",subsegment,JTBD,2,"Get real connection without the partner feeling suffocated or retreating further",
2,"Something's wrong with my partner","2c","Partner is DA — emotionally unavailable / walls up / goes cold",subsegment,JTBD,3,"Communicate emotional needs in a way the partner can actually receive — not trigger more distance",
2,"Something's wrong with my partner","2c","Partner is DA — emotionally unavailable / walls up / goes cold",subsegment,JTBD,4,"Make an informed decision — will a DA ever be able to give what they need or is this a permanent ceiling",
2,"Something's wrong with my partner","2c","Partner is DA — emotionally unavailable / walls up / goes cold",subsegment,JTBD,5,"Stop shrinking themselves and their needs to make the relationship survivable",
2,"Something's wrong with my partner","2c","Partner is DA — emotionally unavailable / walls up / goes cold",subsegment,Blocker,1,"Partner won't acknowledge there's a problem — doing all the relational work alone",Solo relational labor
2,"Something's wrong with my partner","2c","Partner is DA — emotionally unavailable / walls up / goes cold",subsegment,Blocker,2,"The occasional glimpses of real connection create hope that the wall will come down permanently",Hope anchoring
2,"Something's wrong with my partner","2c","Partner is DA — emotionally unavailable / walls up / goes cold",subsegment,Blocker,3,"Keeps trying harder to reach them emotionally — more effort produces less result",Effort trap
2,"Something's wrong with my partner","2c","Partner is DA — emotionally unavailable / walls up / goes cold",subsegment,Blocker,4,"Has internalized the message that their emotional needs are 'too much'",Self-minimization
2,"Something's wrong with my partner","2c","Partner is DA — emotionally unavailable / walls up / goes cold",subsegment,Blocker,5,"Partner functions well in every other area of life — makes it hard to name this as a real problem",High-functioning confusion
3,"Something broke and I need to understand it","3","Something broke and I need to understand it",segment,JTBD,1,"Make sense of what happened — why it ended the way it did or why they behaved the way they did",
3,"Something broke and I need to understand it","3","Something broke and I need to understand it",segment,JTBD,2,"Decide with clarity whether to try to reconnect or commit fully to no contact",
3,"Something broke and I need to understand it","3","Something broke and I need to understand it",segment,JTBD,3,"Stop the obsessive replaying and analyzing — get out of the loop",
3,"Something broke and I need to understand it","3","Something broke and I need to understand it",segment,JTBD,4,"Understand what their own role was in the collapse — not just what the partner did",
3,"Something broke and I need to understand it","3","Something broke and I need to understand it",segment,JTBD,5,"Ensure this pattern doesn't repeat in the next relationship",
3,"Something broke and I need to understand it","3","Something broke and I need to understand it",segment,Blocker,1,"Grief makes clear thinking impossible — emotional flooding blocks the analysis they desperately need",Emotional flooding
3,"Something broke and I need to understand it","3","Something broke and I need to understand it",segment,Blocker,2,"Online explanations either fully vilify the ex or excuse everything — can't find the real answer",Binary narrative trap
3,"Something broke and I need to understand it","3","Something broke and I need to understand it",segment,Blocker,3,"Researching and analyzing becomes a substitute for actually grieving",Intellectualization as avoidance
3,"Something broke and I need to understand it","3","Something broke and I need to understand it",segment,Blocker,4,"Holds onto the possibility of reconnection — stops them from processing the loss as real",Reunion fantasy
3,"Something broke and I need to understand it","3","Something broke and I need to understand it",segment,Blocker,5,"Can see what happened in this relationship but hasn't connected it to a larger personal pattern yet",Pattern blindness
3,"Something broke and I need to understand it","3a","Blindsided by an avoidant — relationship seemed fine then ended suddenly",subsegment,JTBD,1,"Understand how a relationship that felt healthy and real could end with no warning",
3,"Something broke and I need to understand it","3a","Blindsided by an avoidant — relationship seemed fine then ended suddenly",subsegment,JTBD,2,"Get clarity on whether their attachment style caused the end or whether other factors were at play",
3,"Something broke and I need to understand it","3a","Blindsided by an avoidant — relationship seemed fine then ended suddenly",subsegment,JTBD,3,"Process the anger — why didn't they communicate, why didn't they warn me, how could they just switch off",
