channel_name,video_id,video_title,video_url,comment_id,author,likes,reply_count,is_reply,published_at,relevance_score,segment_tag,comment_text
Dr. NerdLove,HPz3TqhpLCw,Why Nice Guys Lose (And Bad Boys Win) | Paging Dr. NerdLove,https://youtu.be/HPz3TqhpLCw,UgzUOv5FNEr27f5xH9B4AaABAg.8jhSX9lzVDs8jskSJ_5cUS,@DavidPirez,2,0,True,2018-08-13,13,Nice Guy / Approval-Seeking Pattern,"To be honest, I think you're the one that isn't paying enough attention to his words, or mine, for that matter. I'll try to walk you through this:

2- As I said, if he simply means ""confident"", he can say it. I've clarified the meaning of 'swagger' once already, but I'll do it again for your sake. Swagger implies an arrogant and/or aggressive demeanor. You know who's arrogant and aggressive? An asshole.

3- Being omnipresent is something that cannot be achieved, and isn't something that this guy said at any point. Maybe english isn't your first language; I'll let this one slide. 6:57 ""Bad boys and assholes (...) tend to be more of a challenge"". Again, he's implying that the thing that nice guys do is being too available and too eager to please. By contrast, the thing that works for bad boys is playing hard to get and being disagreeable (like assholes).

4- In this point particularly, but in every single one, really, you are making an argument that he did not make. I am not commenting on all these things you're making up; I'm commenting on what he actually said, and what he said in this point wasn't really all that different from the other stuff he said, which I've covered twice already.

5- I'm quoting you here: ""he doesn't tell you to ""be aggressive"""". I'll transcribe a few more quotes from him, from about 9:31 onward: ""Which brings us to the last and possibly most important reason why bad boys succeed where nice guys fail: they're aggressive"". There you go; he just said it.

More quotes: ""(Bad boys) see someone who catches their interest and they make their move (...) they just take their shot and they move on if it doesn't work"". ""He who hesitates, loses. When you're trying to make sure that you're 110% guaranteed not to be rejected (...) the guy who, really just likes how her ass looks in those jeans has already rolled up on her"". You and I know he didn't actually say that if a guy likes how her ass looks in those jeans, he should tell her so, immediately, but, can you be confident that the rest of his audience won't infer that?

To be as clear as I possibly can, I am not misinterpreting what the video is trying to convey; I follow this channel closely and I know that Dr.NerdLove isn't actually trying to persuade guys to be assholes in order to hook up with girls; what I'm saying is that this video in particular is poorly scripted, and guys desperately looking for advice on how to be more successful with women might be the ones to misinterpret this video and become assholes without really noticing, because that kinda seems what the Dr. is prescribing."
Dr. NerdLove,HPz3TqhpLCw,Why Nice Guys Lose (And Bad Boys Win) | Paging Dr. NerdLove,https://youtu.be/HPz3TqhpLCw,Ugxnf4haaCjZtoYKLpN4AaABAg.8ji0lHkbWst8jjNlgvL-eh,@Iylandrea,0,0,True,2018-08-09,12,General / Dating Struggle,"@1Jarzak 
I agree.  It's really hard to take a friendship and make it something more.  It's so much easier to start from a place of ""I'm interested in you romantically"" and dating because everyone is on the same page.  And if it doesn't work out you don't just lose a girlfriend/boyfriend you lose a friend.  And you have way more emotional and historical investment that causes it to hurt way more if you get rejected.  I was a lot younger than and learned that too.  At the same time you can develop feelings for friends that you didn't expect.  I have dated friends as well and one of my best relationships was with a man I had been friends with for two years before we dated.  In the end I think it should be about evaluating your friendship.  Are you ok with staying friends and moving on from your feelings or do you want to say something.  The friends I mentioned above had three reactions when I started dating someone.  They either accepted it, confessed their hurt feelings but still cared about me and remained friends, or became angry and lashed out at me ending our friendship explosively. 

I can see your point of view totally.  When you fall for a friend there is a lot more invested feelings there and rejection can really really hurt.  I think this is also something that you grow out of.  People are a lot more clumsy with relationships when their younger, it's something that takes practice."
Dr. NerdLove,HPz3TqhpLCw,Why Nice Guys Lose (And Bad Boys Win) | Paging Dr. NerdLove,https://youtu.be/HPz3TqhpLCw,Ugxnf4haaCjZtoYKLpN4AaABAg,@Iylandrea,26,7,False,2018-08-09,10,Nice Guy / Approval-Seeking Pattern,"I missed out on dating a lot of really nice guys because they never asked me.  I wanted a nice guy in my life, I was lonely and looking for a relationship.  I didn't want a bad boy, (I ended up with a few) I was into nerdy things and was attracted to nerdy guys.  I even had crushes on a few of my friends but they never showed interest or flirted so I assumed that they where not interested in anything more and being friends with them was good enough for me.  I learned later that these same guys where interested but they where to shy to act on that attraction.  I'm partially to blame for this too because I should have wrestled up some courage and said something and didn't.   One of the most abusive bad boys I dated was someone I started seeing because he asked me even though I had a crush on a friend of mine.  I had given up on my crush.   Later I found out he had felt the same way about me.  I would have preferred to date my friend... but he didn't say anything till it was to late and I was already dating someone.  Moral of the story is that you should say something.  If they say no or that they would like to remain friends, appreciate that and respect it.  (that's important don't get angry at them for rejecting you or wanting to be friends that's SUPER unattractive.  There is no bigger turn off than a guy whining about being ""friendzoned"")  But you can never get a yes without asking."
Dr. NerdLove,HPz3TqhpLCw,Why Nice Guys Lose (And Bad Boys Win) | Paging Dr. NerdLove,https://youtu.be/HPz3TqhpLCw,UgzrrRG6TIghriP-URh4AaABAg.8jhJ1k5twop8ji1XfiCoAO,@Iylandrea,9,0,True,2018-08-09,10,Nice Guy / Approval-Seeking Pattern,"I think that they myth is born out of a need to protect  one's ego.  You know it's the ""I was'nt rejected because there is something wrong with me (which there might not be anything wrong, the person just wasn't interested) I was rejected because there is something wrong with THEM.  They pick bad boys/girls.""  ""If there is anything 'wrong' with me it's that I'm TOO nice.""  That kinda thing.  At first it's understandable because self reflection isn't always a lot of fun and evaluating our own flaws can be very intimidating,  but it can really turn into a toxic feed back loop that turns into the full blown Nice Guy/Girl rage.

(Women have their own Nice Girl myth  ""Guys only date sluts.  I'm a nice girl"")"
The diary of a CEO,CdMtxDHT0DI,THIS Is #1 FASTEST Way To Attract Beautiful Women,https://youtu.be/CdMtxDHT0DI,UgwWuZHswAzd4zWEgFR4AaABAg,@jammies8264,0,0,False,2025-08-19,10,General / Dating Struggle,"I've dated a lot. I workout often and take care of myself. I've had fun. Maybe too much. With all that said, attraction works upfront. What does that mean? It's a novelty. Remember, a lot of men cheated on Halle Berry. Cheated on Pamela Anderson. The list is long. What you learn about yourself is that can you go deeper that looks? Can you look deeper than sex? It's hard, especially when you're young. I've been an avoidant most of my life, always found a reason to leave relationships. Stop chasing someone because of looks, thinking if I get that person, I'm worthy of love or anything really. Go live an exciting life (whatever fills your world), travel, art, anything that expands who you are beyond looks. You'll begin to become attracted to other qualities in people. I think humor is sexy asf in a woman. I didn't really when I was younger. Laughter is sexy. It wasn't even a factor before. It was, does she workout and would I want to pin her against the wall. Go find yourself first. You'll find the one after that."
Todd V,J_2WOOuf8kA,Why 97% of Men Descend into Low Value - Is This Happening to You Now?,https://youtu.be/J_2WOOuf8kA,UgwzT3gx4KvsxbAF7uB4AaABAg.9c0urq9K3VRAI4E3NEFV42,@jacobknox9171,0,0,True,2025-05-13,9,General / Dating Struggle,"Update when I first wrote this comment I had been being ripped off by a company I was working for as an independent sales person and then I went down to Florida and worked for a company that tried to scam me and I got paid nothing after taking that risk and making them 100k plus in 3 weeks. I had no money and was forced to max out my credit cards to pay a lawyer for fighting this scam. fast-forward I now have my own business work completely by myself other than subbing work out to people to do the physical part and things have been better. It’s all on you, but that doesn’t matter because once you start to trust yourself things just fall into place , all of this happened after I already had  nothing and took a huge risk spending money going to Florida to work hurricane Ian. most people would’ve given up at that point and just got a job bit that’s when things finally broke and I made more money than I ever had before. Still running this business after 3 years and surviving the worst year we had ever seen last season in 24. Don’t give up!"
Antidote,TstkLVLXuGA,The Art of Seduction by Robert Greene | Complete Animated Book Summary,https://youtu.be/TstkLVLXuGA,UgzuS1wjnXtP14Rr5VN4AaABAg,@beaubreau,0,0,False,2026-04-03,9,General / Dating Struggle,"This advice is honestly pretty bad; some of it even contradicts itself. I’ve been interested in human behavior and relationships since I was a teenager, and while a few of these ideas might seem to “work” when you’re young, they miss something fundamental.

The biggest flaw is the assumption about who is being “seduced.” It frames attraction like one person is targeting someone who’s missing something. That’s not only unhealthy, it’s not someone you should be seeking out in the first place.

If you actually want to attract people, the formula is much simpler and a lot more grounded: have real interests, develop your values, build a life you’re proud of, and pursue hobbies you genuinely enjoy. Then find someone whose values align with yours and who shares some of those interests. That’s where real connection comes from.

Also, this idea that one person is doing all the “seducing” is just wrong. Relationships aren’t one-sided strategies; they require mutual interest and effort. It takes two people who both want to build something together. If it feels like a game, you’ve already lost. That is unless you are specifically seeking out not the brightest humans lol. I personally am attracted to anxious nerdy/smart women. People emotionally intelligent will know the act, and see it as a red flag. I sure would. 

And a lot of the examples used to justify this kind of advice aren’t exactly reliable; many involve people with extreme privilege or behavior that’s honestly a bit unhinged. That’s not a blueprint for a healthy relationship.

Get to know who you are, and treat yourself like a commodity that needs to grow. People will absolutely show up to invest in something that looks like it will be something successful. Most people eventually go through the motion of imagining waking up next to the person for the rest of their life. We all do. You just need to be someone another person would like to see every day. 

When I met my wife, we never stopped seeing each other after that first date. For years, we didn’t even go a single day apart. We’ve been together 14 years now, and she’s still my best friend.

The point is simple: stop playing games. Take care of yourself first, build a life you’re proud of, and then show up for the people you genuinely want to invest in INCLUDING PLATONIC relationships. Real relationships aren’t built on strategy, they’re built on consistency, mutual effort, and actually caring about each other."
Dr. NerdLove,HPz3TqhpLCw,Why Nice Guys Lose (And Bad Boys Win) | Paging Dr. NerdLove,https://youtu.be/HPz3TqhpLCw,UgykkWeyNq6OH_lsV4h4AaABAg,@SiyabongaAfrica,4,0,False,2018-08-09,8,Nice Guy / Approval-Seeking Pattern,"Thanks doc. I was hesitant to watch the video because of the whole “Nice Guy” part in the title. I’ve Nice Guy’d it so many times: in approaching and being in relationships. I’ve worked on my fashion sense (I like to keep it simple - jeans and shirt/sweater on the weekends and a nice pair of shoes and dress shirt during the week). 
I’ve been working out and lost some weight and I wear clothes that fit. I still freeze up a bit when I see someone I’m keen on but I’ve started to approach women and have chats - I just don’t get the number. That’s next on my list of things to do. 
I personally don’t think that women don’t like being approached it’s just how you do it. Being confident and willing to respect boundaries goes a long way. Plus rejection is mostly not about you but a number of other things: she could be having a bad day or something, or maybe you said something that triggered her in your approach. 
I’ve sworn off tinder and bumble so right now I’m focusing on approaching during the day or in person which can be hella scary. But I have faith I’ll make it work soon."
Dr. NerdLove,HPz3TqhpLCw,Why Nice Guys Lose (And Bad Boys Win) | Paging Dr. NerdLove,https://youtu.be/HPz3TqhpLCw,UgzUOv5FNEr27f5xH9B4AaABAg,@DavidPirez,3,3,False,2018-08-08,8,Nice Guy / Approval-Seeking Pattern,"Well, I think you've hit a crucial point at around 5:10, when you start making the empty room/china shop analogy and onward. Nice guys move carefully because they are aware that if they 'bump into something', it'll break and they'll be in trouble. Bad Boys don't really care about 'bumping into something', and move about the room bumping into anything they please. That's what makes them Bad Boys. They break the rules and get away with it. If it didn't work, they wouldn't do it. I don't mean to be a dick about it and blame women for the existence of these assholes, but take a look at the attitudes that women are rewarding, which you are recommending to Nice Guys.

You say at the end ""it's not about being an asshole"", but it really kinda is, isn't it?

1- Put effort into your appearance: Obvious, but I really don't see this as an intrinsically 'Nice Guy vs. Bad Boy' problem here. More likely, it will be perceived as ""be more physically attractive"", which is also obvious, but is already an entrenched stereotype among 'Nice Guys'. 
2- Find your swagger: Swagger means 'walk or behave in a very confident and typically arrogant or aggressive way'. So, reward arrogance and/or aggression. Otherwise, you'd say 'find your confidence'. So, point for assholes.
3- Be more of a challenge: In other words, play hard to get and be disagreeable. Even a ""fake it 'til you make it"" thrown in there for good measure, so a little bit of dishonesty as well. Another point for assholes. 
4- Have intensity (self-assurance and purpose, more about not about being eager for approval, and Bad Boys not having to apologize for their desires and interests). You just repeated everything from the second and third points, but with different words. Half a point for assholes, I guess.
5- Make your move. Be aggressive and make your move immediately. Most likely will not be welcome, because most 'Nice Guys' won't be trying to hook up with strangers they pass on the street; they'll be trying to get with women with whom they've already established some level of friendship. In other words, be rejected immediately and don't be friends with girls you like; get shot down and move on. I guess this last point isn't so bad as advice goes, but it really just lends itself to being a dick and harassing strangers with unwelcome advances, because of the attitude you've reinforced with advices 2 to 4."
Todd V,J_2WOOuf8kA,Why 97% of Men Descend into Low Value - Is This Happening to You Now?,https://youtu.be/J_2WOOuf8kA,UgxFf4gzBThnFvMvt9Z4AaABAg,@einareinarsson8662,0,0,False,2021-06-10,8,Nice Guy / Approval-Seeking Pattern,Exactly. You have to get your things together and know what you want and be prepared that everybody wont love and appreciate your true better version. Dont be a nice people pleaser doorcarpet whom people dont respect truly. They wont love you just because you please everybody but jump on yourself. Dont be a nice guy. Women dont like nice guys. Actually they hate them and dont respect them and as long as you act like doorcarpet you wont have any luck. Believe me. I was the nicest guy but it was not appreciated and rewarding. She must respect you. No respect equals no sex.
