"category","subcategory_name","subcategory_tag","age_range","jtbd_skills","blockers"
"I'm running out of time","The Forever Inexperienced","Identity & Shame","all ages","How to get a first date | How to flirt for the first time | How to kiss | How to have sex for the first time | How to build romantic confidence | How to be seen as a man not just a friend | Sexual skills for absolute beginners | How to transition from talking to something romantic","Don't know where to meet women | Don't know how to start a romantic conversation | Don't know how to flirt | Don't know how to use dating apps | Don't know if someone likes them | Terrified of rejection | Don't know how to ask someone out"
"I'm running out of time","The Career-First Late Bloomer","Timing & Life Design","33–55","How to date in your 30s–50s | How to use dating apps as an older man | How to meet women outside of apps | How to build connection fast | How to integrate a relationship into an already full life | How to be attractive when peers are already paired off","Don't know where to find single women their age | Out of practice socially | Don't know modern dating norms | Don't know how to use apps | Don't know how to show they're available without seeming desperate"
"I'm running out of time","The Post-Loss / Post-Divorce / Post-Relationship Restarter","Re-Entry After Relationship","28–55","How to start dating again after a long relationship | How to use modern apps from scratch | How to present yourself after divorce | How to open up to someone new | How to not repeat the same patterns | How to know when you're ready to date again","Don't know how modern dating works now | Don't know how to use current apps | Emotionally closed off after loss | Don't know how to trust again | Don't know how to write a dating profile from scratch | Don't know what to say on first dates anymore"
"The market has decided I'm undesirable","The Theoretical One","Self-Improvement as Avoidance","all ages","How to take action before feeling completely ready | How to start dating while still working on yourself | How to build confidence through doing not preparing | Practical first steps that don't require being perfect","Don't know when they're actually ready | Overthink every step before taking it | Don't know how to start | Don't know what specifically to improve | Don't know how to translate self-improvement into dating success"
"The market has decided I'm undesirable","No-Initiative Man","Initiation Paralysis","all ages","How to approach a woman without seeming creepy | How to ask someone out | How to start a conversation with a stranger | How to know when it's appropriate to approach | How to not freeze up | How to move from online match to real date","Don't know how to approach in real life | Don't know where it's acceptable to approach | Don't know if a woman is interested or just being polite | Don't know how to ask someone out without making it awkward | Fear of being seen as a harasser"
"The market has decided I'm undesirable","The App-Burned Defeatist","Platform Trauma","all ages","How to write a dating profile that actually works | How to take better photos | How to write a first message that gets a response | How to convert matches into dates | Which apps to use | How to stand out as an average-looking man on apps","Don't know how to write a good bio | Don't know how to photograph themselves | Don't know what to say first | Don't know how to keep a conversation going on apps | Don't understand app algorithms | Don't know how to get from match to date"
"The market has decided I'm undesirable","The Physical-First Seeker","Sexless & Shut Out","all ages","How to signal sexual interest clearly | How to find casual connections | How to escalate physically | Basic sexual skills and experience | How to be attractive to women sexually | How to transition from conversation to physical intimacy","Don't know how to signal interest without being weird | Don't know where to find casual connections | Don't know how to move from talking to physical | Don't know how to read signals that someone is sexually interested in them | Lack of sexual experience"
"Something is broken in me that I can't see","The Unseen Good Guy","Romantically Off-Radar","all ages","How to signal romantic interest clearly | How to flirt | How to make intentions known without ruining the friendship | How to create romantic tension | How to be seen as a potential partner not just a good guy | How to move from friendly to romantic","Don't know how to flirt | Don't know how to signal they want more | Don't know when someone likes them romantically vs. just friendly | Don't know how to make a move on someone they know | Don't know why they keep ending up in the friend category"
"Something is broken in me that I can't see","The Chemistry-Mismatch Man","Availability Blind Spot","all ages","How to build genuine attraction with women who are actually available | How to understand his own attraction patterns | How to stop chasing unavailable women | How to give available women a real chance | How to recognize when chemistry can grow vs. when to move on","Can't tell if available women are worth pursuing | Don't understand why chemistry only fires for unavailable targets | Don't know how to override the pattern through logic | Don't know how to read attraction signals from interested women"
"Something is broken in me that I can't see","The Emotionally Walled Man","Blind Spot","24–42","How to open up emotionally | How to be vulnerable without feeling weak | How to have deeper conversations | How to let someone in past the surface | How to build real emotional intimacy | How to recognize when you're being closed off","Don't know how to express feelings | Don't know how to have emotionally deep conversations | Don't know what 'opening up' actually looks like in practice | Don't know how to not interpret vulnerability as a threat | Can't see their own walls"
"I'm trapped in a loop I can't break","The Picky One","Desire Mismatch","all ages","How to know what he actually wants vs. what he thinks he wants | How to find women he's genuinely attracted to | How to expand his dating pool without just lowering standards | How to become more attractive to the women he wants","Don't know how to meet women who match his type | Don't know if his standards are realistic | Don't know how to attract the women they want | Don't know how to be genuinely interested in the women who like them"
"I'm trapped in a loop I can't break","The Situationship-Trapped Man","Stuck on Someone Who Won't Commit or Friendzoned","22–40","How to get out of the friendzone | How to make someone commit | How to know when a situation is actually dead-end | How to walk away from someone he's invested in | How to move on emotionally | How to make his feelings known without losing the connection","Don't know how to express their feelings without ruining things | Don't know how to ask for commitment | Don't know when to give up | Don't know how to walk away from sunk-cost situations | Don't know how to read whether there's actually a future with this person"
"I'm trapped in a loop I can't break","The Comfortable Alone Man","Status Quo Adapted","28–50","How to re-enter dating after years of being single | How to meet people when you have a full solo life | How to actually want it enough to act | How to make room for someone without blowing up what works | How to start when inertia is the default","Don't know where to start | Lack the motivation to actually try | Don't know how to meet people outside their routine | Don't know how to fit dating into an already complete life | Keep meaning to start but never do"
